INVOICE_NO,CUST_ID,ITEM_ID,ITEM_NO,PRODUCT_TYPE,TRX_DATE,QUANTITY
1616071678,47289,15140234,Z170 PRO4/A/ASRK,OTHERS,2016/7/29,5
1616071660/88764198,3674251,15373194,22CL60PHF/G,OTHERS,2016/7/28,10
1616071441,47289,15595026,WD4004FZWX,MEMORY_SYSTEM,2016/7/25,18
1616071693,47289,15589013,SEELE T STATION PRO,OTHERS,2016/7/29,2
A20160700021,999999999,15245996,SEELE 聖騎士S2-X,OTHERS,2016/7/29,0
1616071072/普00871198,3584267,14967373,GOLDEN FIELD N5 EMPTY BLACK-X,OTHERS,2016/7/18,1
1616071420,47289,8768587,WD10JUCT,OTHERS,2016/7/25,5
1616071079/普00871198,3584267,14967373,GOLDEN FIELD N5 EMPTY BLACK-X,OTHERS,2016/7/18,1
1616070103/88761630,3015258,15083976,LV243XID,OTHERS,2016/7/4,4
1616071660/88764198,3674251,15404030,238L60PHF/G,OTHERS,2016/7/28,10
1616070822/普00871195,3584267,14977861,WD4003FZEX-D,OTHERS,2016/7/14,1
1616071695,47289,15245999,SEELE 暗黑者D5-X,OTHERS,2016/7/29,27
A20160700025,999999999,15589013,SEELE T STATION PRO,OTHERS,2016/7/29,0
1616071682,47289,14141594,B85M PRO4/M/ASRK,OTHERS,2016/7/29,4
1616070021/79213653,3736249,14809864,ZIPP(SALTY GREY),OTHERS,2016/7/1,6
A10059225,3321297,15037958,I2379V/WS,OTHERS,2016/7/18,0
1616071555/普00871208,3584267,14830136,WD40PURX-D,OTHERS,2016/7/27,1
1616071128,47289,8768587,WD10JUCT,OTHERS,2016/7/19,1
ST160700246,55736,15263962,S707/D,OTHERS,2016/7/29,0
A10059630,55736,15372066,I2480SXD,OTHERS,2016/7/28,0
1616070060/79213679,2419206,15185960,I2281FW/BW,OTHERS,2016/7/1,4
1616070940/88761479,3015258,15151088,I2280SWD,OTHERS,2016/7/15,10
A10059530,3015258,15151088,I2280SWD,OTHERS,2016/7/26,0
A10059531,3135262,15046030,I2279VW/WS,OTHERS,2016/7/26,0
1616071296/88761682,3688252,15185960,I2281FW/BW,OTHERS,2016/7/21,5
ST160700119,3035280,14813111,V912S,OTHERS,2016/7/18,0
1616071696,47289,15245999,SEELE 暗黑者D5-X,OTHERS,2016/7/29,14
ST160700246,55736,14806983,AK4712,OTHERS,2016/7/29,0
1616071663/88764199,2493204,15526998,LD32E12M,OTHERS,2016/7/28,2
A10059531,3135262,15240983,I2279VW,OTHERS,2016/7/26,0
1616071150/88761561,3082270,15182032,I2380SD,OTHERS,2016/7/19,2
SR160700069,3527268,14806983,AK4712,OTHERS,2016/7/7,0
1616071386/88761745,3688252,15140985,LD40V02S6,OTHERS,2016/7/22,2
1616070582/88761220,3478253,14935885,H81M-K-H,OTHERS,2016/7/13,400
1616071698,47289,15245999,SEELE 暗黑者D5-X,OTHERS,2016/7/29,21
1616070227,47289,14671860,WD1003FZEX,OTHERS,2016/7/5,8
A10059364,54278,6602587,SALES-REBATE-ASROCK,OTHERS,2016/7/21,0
1616070308,47289,14980086,WD5000LPLX,OTHERS,2016/7/7,45
1616071320/88761797,3867254,15005953,VX229N-H,OTHERS,2016/7/22,10
1616070228,47289,14671860,WD1003FZEX,OTHERS,2016/7/5,21
1616070974,47289,15192100,WD30EZRZ,MEMORY_SYSTEM,2016/7/15,14
1616070308,47289,15157064,WD5000LPCX,MEMORY_SYSTEM,2016/7/7,20
A20160700066,999999999,15444274,J3160-ITX/M/ASRK,OTHERS,2016/7/29,0
1616071715/88764219,2975245,15064921,L2470W,OTHERS,2016/7/29,10
SR160800027,37441,10027587,919SWN-H,OTHERS,2016/7/29,0
1616070238/79213751,46199,13420589,H61M-VG4/M/ASRK,OTHERS,2016/7/5,37
ST160700035,46199,10281587,960GM-VGS3 FX/M/ASRK,OTHERS,2016/7/6,0
A10059064,55831,15116000,I3284VW5/WW,OTHERS,2016/7/13,0
SR160800008,3705260,14813111,V912S,OTHERS,2016/7/29,0
1616071392/88761757,3279261,14804253,H81M-E,OTHERS,2016/7/25,15
1616070255/79213854,2431204,14921004,DS1515+,OTHERS,2016/7/6,1
1616071604/88761900,3878250,15323066,E2070SWNE-H,OTHERS,2016/7/28,200
1616070115/79213720,42679,14797546,FM2A58M-VG3+./M/ASRK,OTHERS,2016/7/4,100
1616070241/79213753,46199,13420589,H61M-VG4/M/ASRK,OTHERS,2016/7/5,26
A10059064,55831,15073880,M3288VW,OTHERS,2016/7/13,0
1616071499/88761817,55831,15387055,I2779VM/WS,OTHERS,2016/7/26,18
A10059408,54278,15640979,J3710-ITX./M/ASRK,OTHERS,2016/7/22,0
1616070878/88761424,2452202,15455984,DS416PLAY,OTHERS,2016/7/14,1
1616071669,47289,14923917,FM2A88M PRO3+/M/ASRK,OTHERS,2016/7/28,3
1616071459/88761788,3535250,15531971,LS32F351FUCXXF,OTHERS,2016/7/25,200
1616071735/88764233,2431204,15455984,DS416PLAY,OTHERS,2016/7/29,1
1616070833/普00871195,3584267,15228082,WD20EZRZ-D,OTHERS,2016/7/14,1
1616071669,47289,15140234,Z170 PRO4/A/ASRK,OTHERS,2016/7/28,5
1616071671,47289,15297002,Z170A-X1/3.1/A/ASRK,OTHERS,2016/7/28,2
1616070652/普00871189,3584267,14998948,H81M-VG4 R2/M/ASRK-D,OTHERS,2016/7/14,1
1616071184/88761595,43146,14864860,CP-9020037-CN,OTHERS,2016/7/20,30
1616070518/88761152,3046323,15553981,VZ229N,OTHERS,2016/7/12,2
A10059384,1515198,15242560,I2379V,OTHERS,2016/7/21,0
1616070871/88761418,40627,14310766,I2769V,OTHERS,2016/7/14,5
A10059629,3134245,14310766,I2769V,OTHERS,2016/7/28,0
1616071300/88761686,2786226,15242560,I2379V,OTHERS,2016/7/21,50
1616071140/普00871199,3584267,15103999,SD8SBAT-128G-1122,MEMORY_SYSTEM,2016/7/19,1
1616071016/88761499,3398252,15455981,DS216+II,OTHERS,2016/7/18,4
1616071649/88764191,2988270,15242494,VP228DE,OTHERS,2016/7/28,2
1616070471/88761151,46199,15587006,H170M-ITX/AC./M/ASRK,OTHERS,2016/7/12,60
1616071634/88764176,1515198,15242187,T4312M,OTHERS,2016/7/28,4
1616070548/88761169,3134245,14310766,I2769V,OTHERS,2016/7/12,10
A10059147,21900,15037958,I2379V/WS,OTHERS,2016/7/14,0
1616071284/88761669,1515198,15181053,I2381F/BW,OTHERS,2016/7/21,5
1616070080/79213690,2419206,15363007,E970SWN5,OTHERS,2016/7/4,23
1616070117/79213722,2419206,15089999,Q2778VQE/WS,OTHERS,2016/7/4,1
1616071164/88761575,3015258,15334066,I2781FH,OTHERS,2016/7/19,10
1616071641/88764183,2353202,15104957,E2280SWN,OTHERS,2016/7/28,20
1616070117/79213722,2419206,15078912,M2470SWD2,OTHERS,2016/7/4,10
1616071301/88761687,2786226,15046030,I2279VW/WS,OTHERS,2016/7/21,50
CX47347659,9554,15358271,TC58TFG7DDLTAIDBDK,MEMORY_SYSTEM,2016/7/21,1920
A20160700175,999999999,3749738,DS25BR100TSD/NOPB,LINEAR IC,2016/7/29,0
CX47348392,16686,3338470,AR8035-AL1A,CHIPSET / ASP,2016/7/26,2310
CX47346810,53917,14365731,"DH82QM87,SR17C",CHIPSET / ASP,2016/7/13,100
CX47348248,2508,1619789,"PCA9511ADP,118",LINEAR IC,2016/7/26,2500
CX47347940,2892,3241946,SN65HVD24DR,LINEAR IC,2016/7/26,2500
CX47348368,2549,14361740,SM325QE0500EM-AB,CHIPSET / ASP,2016/7/26,238
CX47345842,9552,3342693,CSD87350Q5D,LINEAR IC,2016/7/4,5000
CX47347279,3676,3166116,ESD9L5.0ST5G,DISCRETE,2016/7/18,8000
CX47348298,2518,4231589,MT41K128M16JT-125:K,MEMORY_EMBEDED,2016/7/26,20
CF47353814,3852,3325018,TPS54225PWPR,LINEAR IC,2016/6/27,0
CX47345921,2581,15558959,XPGBWT-B1-5C3-S4-F-06(CLEO),OPTICAL AND SENSOR,2016/7/4,1000
CX47345345,2509,14243595,NCP45520IMNTWG-H,OTHERS,2016/7/1,12000
CX47345591,56711,3276054,CRCW1206820RFKEA,PEMCO,2016/7/1,10000
CX47348385,43838,14726902,NRVBS360T3G,DISCRETE,2016/7/26,2500
SJ48663054,506198,15199133,"8260.NGWMG.NV,942167",CHIPSET / ASP,2015/11/19,0
CF47351531,2256,3306718,AU80610004653AASLBMG,CPU / MPU,2016/6/1,0
BP47352102,9552,3390395,"NHI350AM2,SLJ3S",CHIPSET / ASP,2016/4/8,0
CX47346214,16135,126995,MBR0540T1G,DISCRETE,2016/7/6,3000
RQ48663884,2260,14841300,CL8064701589005SR1T2,CPU / MPU,2015/9/30,0
CF47348518,2405,3398932,CT80618007035ABSLJ39,CPU / MPU,2016/5/27,0
5119,10554,14711825,TPS54560DDAR,LINEAR IC,2016/7/31,0
CX47347027,3361,3180734,FQD20N06TM,DISCRETE,2016/7/14,10000
CF47353260,11141,6361587,DF8064101050503SR0W1,CPU / MPU,2016/6/17,0
CX47347918,27495,14375726,PMPB20ENZ,DISCRETE,2016/7/25,3000
CX47347010,3218,3807427,CM8063701137502SR0RG,CPU / MPU,2016/7/14,50
BP47351492,2256,14762160,FH8065301615010SR1UT,CPU / MPU,2016/4/1,0
CF47354381,16135,70450,"PMBT3906,215",DISCRETE,2016/6/29,0
CF47354276,2506,2179808,"PCA9546APW,118",LINEAR IC,2016/6/28,0
CX47347539,2293,4242590,CM8063701095203SR0P3,CPU / MPU,2016/7/20,40
CX47346970,9552,6358587,DF8064101211300SR0VY,CPU / MPU,2016/7/14,200
BP47347908,11689,14270842,"SSDSC2BB080G401,927197",OTHERS,2016/3/21,0
CX47347378,2582,8929650,"WGI211AT,SLJXZ",CHIPSET / ASP,2016/7/19,20
1616071528/88761841,2431204,14921003,DS1815+,OTHERS,2016/7/26,1
1616070605,47289,15194056,WD20EZRZ,MEMORY_SYSTEM,2016/7/13,18
1616070047/79213666,2397200,15455982,DS916+(8GB),OTHERS,2016/7/1,2
1616070985/88761491,3035280,15145171,V2043WS,OTHERS,2016/7/15,50
1616071011/88761547,3644249,15000909,Z97-K-H,OTHERS,2016/7/18,50
1616070169,47289,15471068,SEELE 裝甲兵PRO,OTHERS,2016/7/5,40
1616070706/普00871190,3584267,14819946,WD1003FZEX-D,OTHERS,2016/7/14,1
1616070486,47289,15471068,SEELE 裝甲兵PRO,OTHERS,2016/7/12,30
1616070938/88761477,3035280,15404030,238L60PHF/G,OTHERS,2016/7/15,2
1616071086/普00871203,3584267,14803927,ADA 8G DDR3-X,OTHERS,2016/7/19,1
1616071678,47289,15651977,X99 PROF. GAMING I7./A/ASRK,OTHERS,2016/7/29,2
1616071346/88761708,3087241,15352015,DS216J,OTHERS,2016/7/22,4
1616071735/88764233,2431204,14251604,DX513,OTHERS,2016/7/29,1
1616071288/88761673,3015258,15185962,I2381FH,OTHERS,2016/7/21,50
1616070642/88761274,3128246,15037958,I2379V/WS,OTHERS,2016/7/13,30
1616070938/88761477,3035280,15464963,22CL21SALF/BW,OTHERS,2016/7/15,110
A10059266,54586,15581972,STRIX X99 GAMING,OTHERS,2016/7/19,0
1616071001,47289,15348971,SEELE 聖騎士S3-X,OTHERS,2016/7/18,10
1616070417,47289,15157064,WD5000LPCX,MEMORY_SYSTEM,2016/7/11,80
1616070178/79213733,2452202,14938903,4GB 1600DDR3,OTHERS,2016/7/5,1
1616070617/88761248,3128246,15046030,I2279VW/WS,OTHERS,2016/7/13,50
1616071514/88761827,3135262,15046030,I2279VW/WS,OTHERS,2016/7/26,5
1616070375/79213927,3539255,15253082,M4002VWH/WW,OTHERS,2016/7/8,10
1616070653/普00871189,3584267,14980184,T1910-X,OTHERS,2016/7/14,1
1616071091/普00871203,3584267,14998948,H81M-VG4 R2/M/ASRK-D,OTHERS,2016/7/19,1
A10059606,47289,15265962,SALES_REBATE_JD,OTHERS,2016/7/28,0
A10059146,3527268,14806983,AK4712,OTHERS,2016/7/14,0
